report_date;location;climate;temp_max;temp_min;unit_temp;population;density_population;unit_density_pop;latitude_north_borders;longitude_north_borders;latitude_west_borders;longitude_west_borders;latitude_est_borders;longitude_est_borders;latitude_south_borders;longitude_south_borders;location_type;data_field;data_field_code;time_period;time_period_type;value;unit
09/01/2016;Colombia-Antioquia-Unknown;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;1;cases
09/01/2016;Colombia-Antioquia-Medellin;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;36;cases
09/01/2016;Colombia-Antioquia-Abejorral;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Abriaqui;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Alejandria;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Amaga;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Amalfi;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Andes;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Angelopolis;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Angostura;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Anori;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Santafe_De_Antioquia;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Anza;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Apartado;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;1;cases
09/01/2016;Colombia-Antioquia-Arboletes;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Argelia;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Armenia;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Barbosa;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Belmira;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Bello;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;6;cases
09/01/2016;Colombia-Antioquia-Betania;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Betulia;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
09/01/2016;Colombia-Antioquia-Ciudad_Bolivar;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;2;cases
09/01/2016;Colombia-Antioquia-Briceno;tropical;35,00;22,00;degrees;49892184,00;43,70;personnes/km(2);12.391506;-71.658760;2.338458;-78.503399;1.327515;-66.903637;-4.160408;-69.965315;municipality;zika_confirmed_laboratory;CO0001;NA;NA;0;cases
